"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RAN1",9.15576175079382e-10,0.776820940674015,0.98,0.862,2.05107374741283e-05,"5","RAN"
"CDCA5",9.50127435385668e-10,0.365659808150793,0.393,0.039,2.12847548075097e-05,"5","CDCA5"
"MKI67",9.83568370911066e-10,0.588644441961155,0.547,0.116,2.20338986451497e-05,"5","MKI67"
"LSM3",9.91449851617332e-10,0.651290742335144,0.953,0.773,2.22104595759315e-05,"5","LSM3"
"MSH2",1.06031595070128e-09,0.345277570479623,0.533,0.128,2.375319792761e-05,"5","MSH2"
"SNRNP25",1.22888583801677e-09,0.506742174048927,0.782,0.323,2.75295005432516e-05,"5","SNRNP25"
"ACOT7",1.47258891847431e-09,0.341688544964211,0.638,0.288,3.29889369516614e-05,"5","ACOT7"
"SSRP1",1.55788035223006e-09,0.47961503601356,0.843,0.503,3.48996356506577e-05,"5","SSRP1"
"CDCA71",1.79835664889004e-09,0.532968844284301,0.807,0.37,4.02867856484346e-05,"5","CDCA7"
"HSPA9",1.80371100155644e-09,0.382552436465834,0.868,0.645,4.04067338568675e-05,"5","HSPA9"
"CYC11",2.0326953278806e-09,0.592736376159521,0.969,0.813,4.55364407351812e-05,"5","CYC1"
"HPRT1",2.07508068389631e-09,0.455976500671268,0.754,0.367,4.64859574806451e-05,"5","HPRT1"
"DSCC1",2.38410544988808e-09,0.272248293009614,0.35,0.032,5.34087302883929e-05,"5","DSCC1"
"SRSF2",2.38958295885388e-09,0.447530343634372,0.941,0.797,5.35314374442446e-05,"5","SRSF2"
"FANCI",2.40615111533436e-09,0.298479251088526,0.396,0.052,5.39025972857203e-05,"5","FANCI"
"SERBP11",2.42425262095857e-09,0.527037648961409,0.971,0.872,5.43081072147139e-05,"5","SERBP1"
"SRPK12",2.57753316544883e-09,0.427577255382294,0.87,0.589,5.77418979723847e-05,"5","SRPK1"
"NDUFV11",2.69707055307178e-09,0.428432531206922,0.901,0.676,6.04197745299139e-05,"5","NDUFV1"
"DSN1",2.79184380783112e-09,0.34594859511749,0.479,0.091,6.25428849830327e-05,"5","DSN1"
"MYO19",2.8567527445225e-09,0.367697224135062,0.552,0.172,6.39969749827931e-05,"5","MYO19"
"EEF1B22",2.89476471889028e-09,0.49910140838842,0.986,0.959,6.48485192325801e-05,"5","EEF1B2"
"PPIH",2.96946076621037e-09,0.394545897752371,0.689,0.32,6.65218600846447e-05,"5","PPIH"
"ATP5MC31",3.00155109200283e-09,0.619757273609496,0.991,0.931,6.72407475630474e-05,"5","ATP5MC3"
